marker_id,gene,product,strain,clade,organism,locus_tag,protein_accession,aa_sequence_in_kg
m050,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1866,WP_011933764.1,True
m051,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_0322,WP_041426303.1,True
m051,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_RS12765,WP_025362043.1,True
m051,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,TX72_RS14610,WP_071820816.1,True
m051,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_07994,WP_009788816.1,True
m051,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0325,WP_011932251.1,True
m052,,uncharacterized conserved secreted protein,CC9311,I,Synechococcus CC9311,sync_0985,WP_011618920.1,True
m052,,uncharacterized conserved secreted protein,WH8109,II,Synechococcus WH8109,Syncc8109_2028,WP_052328033.1,True
m052,,uncharacterized conserved secreted protein,WH8102,III,Synechococcus WH8102,TX72_RS14675,WP_225867735.1,True
m052,,uncharacterized conserved secreted protein,BL107,IV,Synechococcus sp. BL107,BL107_15390,WP_009790243.1,True
m052,,uncharacterized conserved secreted protein,WH7803,V,Synechococcus WH7803,SynWH7803_1575,WP_011933478.1,True
