marker_id,marker_set,gene,product,organism,locus_tag,pfam_entries,max_genes_sharing_a_domain,domain_paralog_flag
five_strain:46,five_strain,,uncharacterized conserved secreted protein,Synechococcus CC9311,sync_1789,,,no_pfam_annotation
five_strain:46,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH8109,Syncc8109_1619,,,no_pfam_annotation
five_strain:46,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH8102,SYNW2557,,,no_pfam_annotation
five_strain:46,five_strain,,uncharacterized conserved secreted protein,Synechococcus sp. BL107,BL107_RS08895,,,no_pfam_annotation
five_strain:46,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH7803,SynWH7803_0844,,,no_pfam_annotation
five_strain:47,five_strain,,conserved hypothetical protein,Synechococcus CC9311,sync_1841,,,no_pfam_annotation
five_strain:47,five_strain,,conserved hypothetical protein,Synechococcus WH8109,Syncc8109_0910,,,no_pfam_annotation
five_strain:47,five_strain,,conserved hypothetical protein,Synechococcus WH8102,SYNW0871,,,no_pfam_annotation
five_strain:47,five_strain,,conserved hypothetical protein,Synechococcus sp. BL107,BL107_RS09340,,,no_pfam_annotation
five_strain:47,five_strain,,conserved hypothetical protein,Synechococcus WH7803,SYNWH7803_RS03360,,,no_pfam_annotation
five_strain:48,five_strain,,conserved hypothetical protein,Synechococcus CC9311,sync_1837,,,no_pfam_annotation
five_strain:48,five_strain,,conserved hypothetical protein,Synechococcus WH8109,Syncc8109_2004,,,no_pfam_annotation
five_strain:48,five_strain,,conserved hypothetical protein,Synechococcus WH8102,TX72_RS13905,,,no_pfam_annotation
five_strain:48,five_strain,,conserved hypothetical protein,Synechococcus sp. BL107,BL107_RS13140,,,no_pfam_annotation
five_strain:48,five_strain,,conserved hypothetical protein,Synechococcus WH7803,SynWH7803_1697,,,no_pfam_annotation
five_strain:49,five_strain,,putative membrane protein,Synechococcus CC9311,sync_0527,,,no_pfam_annotation
five_strain:49,five_strain,,putative membrane protein,Synechococcus WH8109,Syncc8109_0497,,,no_pfam_annotation
five_strain:49,five_strain,,putative membrane protein,Synechococcus WH8102,S8102_22071,,,no_pfam_annotation
five_strain:49,five_strain,,putative membrane protein,Synechococcus sp. BL107,SynBL107_50002,,,no_pfam_annotation
five_strain:49,five_strain,,putative membrane protein,Synechococcus WH7803,SynWH7803_2545,,,no_pfam_annotation
five_strain:50,five_strain,,conserved hypothetical protein,Synechococcus CC9311,sync_1680,,,no_pfam_annotation
five_strain:50,five_strain,,conserved hypothetical protein,Synechococcus WH8109,Syncc8109_1386,,,no_pfam_annotation
five_strain:50,five_strain,,conserved hypothetical protein,Synechococcus WH8102,TX72_RS13180,,,no_pfam_annotation
five_strain:50,five_strain,,conserved hypothetical protein,Synechococcus sp. BL107,BL107_17408,,,no_pfam_annotation
five_strain:50,five_strain,,conserved hypothetical protein,Synechococcus WH7803,SynWH7803_1481,,,no_pfam_annotation
five_strain:51,five_strain,,conserved hypothetical protein,Synechococcus CC9311,sync_2132,,,no_pfam_annotation
five_strain:51,five_strain,,conserved hypothetical protein,Synechococcus WH8109,Syncc8109_0671,,,no_pfam_annotation
five_strain:51,five_strain,,conserved hypothetical protein,Synechococcus WH8102,SYNW1856,,,no_pfam_annotation
five_strain:51,five_strain,,conserved hypothetical protein,Synechococcus sp. BL107,BL107_09836,,,no_pfam_annotation
five_strain:51,five_strain,,conserved hypothetical protein,Synechococcus WH7803,SynWH7803_1866,,,no_pfam_annotation
five_strain:52,five_strain,,uncharacterized conserved membrane protein,Synechococcus CC9311,sync_0322,,,no_pfam_annotation
five_strain:52,five_strain,,uncharacterized conserved membrane protein,Synechococcus WH8109,Syncc8109_RS12765,,,no_pfam_annotation
five_strain:52,five_strain,,uncharacterized conserved membrane protein,Synechococcus WH8102,TX72_RS14610,,,no_pfam_annotation
five_strain:52,five_strain,,uncharacterized conserved membrane protein,Synechococcus sp. BL107,BL107_07994,,,no_pfam_annotation
five_strain:52,five_strain,,uncharacterized conserved membrane protein,Synechococcus WH7803,SynWH7803_0325,,,no_pfam_annotation
five_strain:53,five_strain,,uncharacterized conserved secreted protein,Synechococcus CC9311,sync_0985,,,no_pfam_annotation
five_strain:53,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH8109,Syncc8109_2028,,,no_pfam_annotation
five_strain:53,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH8102,TX72_RS14675,,,no_pfam_annotation
five_strain:53,five_strain,,uncharacterized conserved secreted protein,Synechococcus sp. BL107,BL107_15390,,,no_pfam_annotation
five_strain:53,five_strain,,uncharacterized conserved secreted protein,Synechococcus WH7803,SynWH7803_1575,pfam:PF30570,0,clean
