organism_name,locus_tag,system_id,system_size,class_,class_reason,carrier_family,carrier_type_abc,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors,control_confident,in_candidate,reference_class
Alteromonas macleodii EZ55,EZ55_00627,EZ55_S0139,1,carrier-family,resolved carbon-import secondary carrier (ampG :: AmpG family muropeptide MFS),secondary-carrier-organic,,secondary-carrier,Acatn ; MFS_1,ampG :: AmpG family muropeptide MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K08218,2.A.1.25,AmpG family muropeptide MFS,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00725,EZ55_S0149,1,carrier-family,resolved carbon-import secondary carrier (benzoate membrane),secondary-carrier-organic,,secondary-carrier,BenE,benE :: benzoate/H(+) symporter BenE family transporter :: protein involved in benzoate metabolism,K05782,2.A.46.1,benzoate membrane,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00841,EZ55_S0015,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,Peripla_BP_6,"ABC transporter substrate-binding protein :: COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component",K01999,3.A.1.4,branched-chain amino acid,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00979,EZ55_S0195,1,carrier-family,recognized carrier family POT,POT,,other/unclear,PTR2,dtpT :: peptide MFS transporter :: POT family,K03305,The Proton-dependent Oligopeptide Transporter (POT/PTR) Family,proton-dependent oligopeptide,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01127,EZ55_S0022,5,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,"dppF :: ATP-binding cassette domain-containing protein :: ABC transporter, ATP-binding protein",K12372 ; K19230,3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,EZ55_01126,,True,candidate
Alteromonas macleodii EZ55,EZ55_01128,EZ55_S0022,5,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,sapD :: peptide ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,K02031 ; K02032 ; K13896 ; K19229,3.A.1.5.21 ; 3.A.1.5.24 ; 3.A.1.5.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,EZ55_01126,,True,candidate
Alteromonas macleodii EZ55,EZ55_01129,EZ55_S0022,5,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1 ; OppC_N,"sapC :: ABC transporter permease subunit :: ABC-type antimicrobial peptide transport system, permease component",K12370 ; K19228,3.A.1.5.5,dipeptide,confident,KO|antimicrobial-peptide,dual-C+N,importer,NA,EZ55_01126,,True,candidate
Alteromonas macleodii EZ55,EZ55_01130,EZ55_S0022,5,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,"dppB :: ABC transporter permease :: COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",K12369 ; K15581 ; K19227,3.A.1.5.1 ; 3.A.1.5.18 ; 3.A.1.5.19 ; 3.A.1.5.25 ; 3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,EZ55_01126,,True,candidate
Alteromonas macleodii EZ55,EZ55_01131,EZ55_S0022,5,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-cassette-complete,substrate-binding,SBP_bac_5,"sapA :: ABC transporter substrate-binding protein :: ABC-type dipeptide transport system, periplasmic component",K12368 ; K19226,3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,EZ55_01126,,True,candidate
Alteromonas macleodii EZ55,EZ55_01217,EZ55_S0236,1,carrier-family,recognized secondary carrier family phenylpropionate-hcaT,phenylpropionate-hcaT,,secondary-carrier,MFS_1_like,hcaT :: MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K05820,2.A.1.27,hcaT :: MFS,inferred,product/eggNOG,organic-C,importer,NA,EZ55_01216,,True,candidate
Alteromonas macleodii EZ55,EZ55_01254,EZ55_S0023,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,type 2 periplasmic-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,EZ55_01253,,True,candidate
Alteromonas macleodii EZ55,EZ55_01261,EZ55_S0249,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,CitMHS ; TrkA_C,SLC13 family permease :: COG0471 Di- and tricarboxylate transporters,,,SLC13 family,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01266,EZ55_S0250,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,putP :: sodium/proline symporter PutP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307 ; K11928,2.A.21.2,solute:Na+,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01472,EZ55_S0281,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,CitMHS ; GntP_permease,GntP family permease :: COG2610 H gluconate symporter and related permeases,,,GntP family,inferred,product/eggNOG,organic-C,importer,NA,EZ55_01471,,True,candidate
Alteromonas macleodii EZ55,EZ55_01565,EZ55_S0290,1,carrier-family,recognized carrier family SLC13-dicarboxylate,SLC13-dicarboxylate,,other/unclear,SDF,gltP :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,,,dicarboxylate/amino acid:cation,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01602,EZ55_S0297,1,carrier-family,recognized secondary carrier family NCS-nucleobase,NCS-nucleobase,,secondary-carrier,Xan_ur_permease,yjcD :: NCS2 family permease :: COG2252 Permeases,K06901,2.A.1.40,adenine/guanine/hypoxanthine,confident,KO,dual-C+N,importer,NA,EZ55_01603,,True,candidate
Alteromonas macleodii EZ55,EZ55_01608,EZ55_S0298,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Cupin_5 ; NUP,purine nucleoside permease :: Purine nucleoside permease,,,purine nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01610,EZ55_S0300,1,carrier-family,recognized secondary carrier family NCS-nucleobase,NCS-nucleobase,,secondary-carrier,Xan_ur_permease,xanQ :: uracil-xanthine permease family protein :: xanthine,K03458 ; K16345 ; K16346,The Nucleobase/Ascorbate Transporter (NAT) or Nucleobase:Cation Symporter-2 (NCS2) Family ; 2.A.40.4.2 ; 2.A.40.4.3,nucleobase:cation,confident,KO,dual-C+N,importer,NA,EZ55_01611,,True,candidate
Alteromonas macleodii EZ55,EZ55_01684,EZ55_S0308,1,carrier-family,resolved carbon-import secondary carrier (spinster family MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,spinster family MFS transporter :: Sugar (and other) transporter,,,spinster family MFS,inferred,product/eggNOG,organic-C,importer,NA,EZ55_01683|EZ55_01685,,True,candidate
Alteromonas macleodii EZ55,EZ55_01726,EZ55_S0314,1,carrier-family,recognized carrier family SLC13-dicarboxylate,SLC13-dicarboxylate,,other/unclear,SDF,gltT :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,K03309,The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family,dicarboxylate/amino acid:cation (Na+ or H+),confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01780,EZ55_S0319,1,carrier-family,recognized carrier family NCS-nucleobase,NCS-nucleobase,,other/unclear,,purine-cytosine permease family protein :: COG1457 Purine-cytosine permease and related proteins,K03457,The Nucleobase:Cation Symporter-1 (NCS1) Family,nucleobase:cation,confident,KO,dual-C+N,importer,NA,EZ55_01779|EZ55_01781,,True,candidate
Alteromonas macleodii EZ55,EZ55_01858,EZ55_S0335,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,betT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K02168,2.A.15.1.3 ; 2.A.15.1.4,choline/glycine/proline betaine,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_01930,EZ55_S0340,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,putP :: sodium/proline symporter PutP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307 ; K11928,2.A.21.2,solute:Na+,confident,KO,dual-C+N,importer,NA,EZ55_01929|EZ55_01931,,True,candidate
Alteromonas macleodii EZ55,EZ55_01986,EZ55_S0034,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,EZ55_01985,,True,candidate
Alteromonas macleodii EZ55,EZ55_02015,EZ55_S0349,1,carrier-family,resolved carbon-import secondary carrier (maltose/moltooligosaccharide),secondary-carrier-organic,,secondary-carrier,MFS_1 ; MFS_2,MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K16211,2.A.2.6,maltose/moltooligosaccharide,confident,KO,organic-C,importer,NA,EZ55_02014|EZ55_02016,,True,candidate
Alteromonas macleodii EZ55,EZ55_02430,EZ55_S0393,1,carrier-family,recognized carrier family TRAP,TRAP,,other/unclear,DctP,"TRAP transporter substrate-binding protein :: COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component",,,TRAP,inferred,product/eggNOG,organic-C,importer,NA,EZ55_02429,,True,candidate
Alteromonas macleodii EZ55,EZ55_02480,EZ55_S0399,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,Na_sulph_symp,sdcS :: SLC13 family permease :: COG0471 Di- and tricarboxylate transporters,K14445,2.A.47.1,solute carrier family 13 (sodium-dependent dicarboxylate,confident,KO,organic-C,importer,NA,EZ55_02481,,True,candidate
Alteromonas macleodii EZ55,EZ55_02546,EZ55_S0405,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,SCFA_trans,atoE :: short-chain fatty acid transporter :: COG2031 Short chain fatty acids transporter,K02106,2.A.73.1,short-chain fatty acids,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_02635,EZ55_S0040,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: -,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ALTBGP6_RS12930,,True,candidate
Alteromonas macleodii EZ55,EZ55_02647,EZ55_S0414,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,Lactate_perm,lldP :: L-lactate permease,K00427 ; K03303,The Lactate Permease (LctP) Family ; 2.A.14.1.1,L-lactate,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_02878,EZ55_S0445,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,BCCT family transporter :: Choline-glycine betaine transporter,,,BCCT family,inferred,product/eggNOG,dual-C+N,importer,NA,EZ55_02877,,True,candidate
Alteromonas macleodii EZ55,EZ55_02911,EZ55_S0045,4,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-cassette-complete,substrate-binding,SBP_bac_5,"nikA :: ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding proteins, family 5 Middle",K02035,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,EZ55_02915,,True,candidate
Alteromonas macleodii EZ55,EZ55_02912,EZ55_S0045,4,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,nikB :: ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,K02033,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,EZ55_02915,,True,candidate
Alteromonas macleodii EZ55,EZ55_02913,EZ55_S0045,4,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,K02034,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,EZ55_02915,,True,candidate
Alteromonas macleodii EZ55,EZ55_02914,EZ55_S0045,4,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,K02031 ; K02032,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,EZ55_02915,,True,candidate
Alteromonas macleodii EZ55,EZ55_02962,EZ55_S0453,1,carrier-family,recognized carrier family APC,APC,,other/unclear,,hypothetical protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,NA,EZ55_02963,,True,candidate
Alteromonas macleodii EZ55,EZ55_02979,EZ55_S0455,1,carrier-family,resolved carbon-import secondary carrier (gluP :: sugar MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,gluP :: sugar MFS transporter :: Major Facilitator Superfamily,K02429,2.A.1.7,sugar MFS,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03194,EZ55_S0488,1,carrier-family,resolved carbon-import secondary carrier (fucP :: L-fucose:H+),secondary-carrier-organic,,secondary-carrier,MFS_1,fucP :: L-fucose:H+ symporter permease :: Major Facilitator Superfamily,K02429,2.A.1.7,L-fucose:H+,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03195,EZ55_S0489,1,carrier-family,carbohydrate-selective porin (non-specific sugar entry),carbohydrate-porin,,other/unclear,OprB,"rpfN :: carbohydrate porin :: Carbohydrate-selective porin, OprB family",K07267,1.B.19.1,carbohydrate (non-specific porin),inferred,TCDB-porin,organic-C,importer,NA,EZ55_03196,,True,candidate
Alteromonas macleodii EZ55,EZ55_03232,EZ55_S0048,1,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-orphan-SBP,substrate-binding,SBP_bac_8,ABC transporter substrate-binding protein :: Spermidine putrescine-binding periplasmic protein,K02055,3.A.1.11,unresolved,inferred,none,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03301,EZ55_S0503,1,carrier-family,recognized carrier family glycerol/glp,glycerol/glp,,other/unclear,MIP,glpF :: MIP/aquaporin family protein :: Belongs to the MIP aquaporin (TC 1.A.8) family,K02440,1.A.8.1 ; 1.A.8.2,glycerol,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03316,EZ55_S0049,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"pedG :: substrate-binding periplasmic protein :: COG0834 ABC-type amino acid transport signal transduction systems, periplasmic component domain",,,pedG ::,inferred,product/eggNOG,dual-C+N,importer,transport,EZ55_03315,,True,candidate
Alteromonas macleodii EZ55,EZ55_03341,EZ55_S0512,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,betT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K02168,2.A.15.1.3 ; 2.A.15.1.4,choline/glycine/proline betaine,confident,KO,dual-C+N,importer,NA,EZ55_03340,,True,candidate
Alteromonas macleodii EZ55,EZ55_03439,EZ55_S0529,1,carrier-family,recognized secondary carrier family APC,APC,,secondary-carrier,AA_permease_2,APC family permease :: amino acid,,,APC family,inferred,product/eggNOG,dual-C+N,importer,NA,EZ55_03438,,True,candidate
Alteromonas macleodii EZ55,EZ55_03451,EZ55_S0532,1,carrier-family,recognized carrier family NCS-nucleobase,NCS-nucleobase,,other/unclear,Transp_cyt_pur,"ybbW :: NCS1 family nucleobase:cation symporter-1 :: Permease for cytosine/purines, uracil, thiamine, allantoin",K03457 ; K10975,The Nucleobase:Cation Symporter-1 (NCS1) Family ; 2.A.39.3.8,nucleobase:cation,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03464,EZ55_S0534,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,GntP_permease,gntU :: GntP family permease :: COG2610 H gluconate symporter and related permeases,K03299 ; K06156,The Gluconate:H+ Symporter (GntP) Family ; 2.A.8.1.8,gluconate:H+,confident,KO,organic-C,importer,NA,EZ55_03465,,True,candidate
Alteromonas macleodii EZ55,EZ55_03490,EZ55_S0542,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Gate ; Nucleos_tra2_C ; Nucleos_tra2_N,yeiM :: NupC/NupG family nucleoside CNT transporter :: Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family,K03317,The Concentrative Nucleoside Transporter (CNT) Family,concentrative nucleoside,confident,KO,dual-C+N,importer,NA,EZ55_03489|EZ55_03491,,True,candidate
Alteromonas macleodii EZ55,EZ55_03498,EZ55_S0544,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,actP :: sodium:solute symporter family protein :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K14393,2.A.21.7,cation/acetate,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03505,EZ55_S0547,1,carrier-family,recognized carrier family APC,APC,,other/unclear,,amino acid ABC transporter substrate-binding protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,amino acid,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03741,EZ55_S0061,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03747,EZ55_S0579,1,carrier-family,recognized secondary carrier family MFS-sugar,MFS-sugar,,secondary-carrier,MFS_1,MFS transporter :: COG0738 Fucose permease,,,unresolved,inferred,none,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03758,EZ55_S0062,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,transporter substrate-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03813,EZ55_S0063,1,transport-role,ABC ATP-binding (Pfam),ABC-subunit,,ATP-binding,ABC_tran,"ABC transporter ATP-binding protein :: ABC-type antimicrobial peptide transport system, ATPase component",K02003,The ATP-binding Cassette (ABC) Superfamily,unresolved,inferred,none|antimicrobial-peptide,dual-C+N,importer,NA,,,True,set-aside
Alteromonas macleodii EZ55,EZ55_03834,EZ55_S0594,1,carrier-family,resolved carbon-import secondary carrier (gluP :: sugar MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,gluP :: sugar MFS transporter :: glucose galactose transporter,K02429,2.A.1.7,sugar MFS,inferred,product/eggNOG,organic-C,importer,NA,EZ55_03833,,True,candidate
Alteromonas macleodii EZ55,EZ55_03837,EZ55_S0595,1,carrier-family,recognized secondary carrier family MFS-sugar,MFS-sugar,,secondary-carrier,Sugar_tr,xylE :: sugar porter family MFS transporter :: Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,K08138 ; K08139,2.A.1.1.3,sugar porter family MFS,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_03886,EZ55_S0606,1,carrier-family,recognized carrier family fatty-acid,fatty-acid,,other/unclear,Toluene_X,fadL :: OmpP1/FadL family transporter :: Long-chain fatty acid,K06076,The FadL Outer Membrane Protein (FadL) Family,long-chain fatty acid,confident,KO,organic-C,importer,NA,EZ55_03887,,True,candidate
Alteromonas macleodii EZ55,EZ55_03955,EZ55_S0066,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,EZ55_03954,,True,candidate
Alteromonas macleodii EZ55,EZ55_04028,EZ55_S0637,1,carrier-family,recognized secondary carrier family MFS-sugar,MFS-sugar,,secondary-carrier,Sugar_tr,xylE :: sugar porter family MFS transporter :: Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,K05548 ; K08138 ; K08139,2.A.1.1.3 ; 2.A.1.15,sugar porter family MFS,inferred,product/eggNOG,organic-C,importer,NA,EZ55_04027|EZ55_04029,,True,candidate
Alteromonas macleodii EZ55,EZ55_04100,EZ55_S0653,1,carrier-family,resolved carbon-import secondary carrier (glycoside/pentoside/hexuronide:cation),secondary-carrier-organic,,secondary-carrier,MFS_2,MFS transporter :: MFS/sugar transport protein,K03292,The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family,glycoside/pentoside/hexuronide:cation,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_04287,EZ55_S0677,1,carrier-family,recognized carrier family fatty-acid,fatty-acid,,other/unclear,Toluene_X,OmpP1/FadL family transporter :: Membrane protein involved in aromatic hydrocarbon degradation,K06076,The FadL Outer Membrane Protein (FadL) Family,long-chain fatty acid,confident,KO,organic-C,importer,NA,EZ55_04286,,True,candidate
Alteromonas macleodii EZ55,EZ55_04346,EZ55_S0688,1,carrier-family,recognized secondary carrier family APC,APC,,secondary-carrier,AA_permease_2,ybaT :: APC family permease :: amino acid,,,APC family,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
