organism_name,locus_tag,system_id,system_size,carrier_type,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors
Alteromonas macleodii HOT1A3,ACZ81_05995,ACZ81_S0249,1,other,other/unclear,FeS ; Fer4_21,rnfB :: electron transport complex subunit RsxB :: Part of a membrane-bound complex that couples electron transfer with translocation of ions across the membrane,K03616,,H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2],confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06000,ACZ81_S0250,1,other,other/unclear,Rnf-Nqr,rnfA :: electron transport complex subunit RsxA :: Part of a membrane-bound complex that couples electron transfer with translocation of ions across the membrane,K03617,,H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06015,ACZ81_S0251,1,other,other/unclear,MatE,MATE family efflux transporter :: COG0534 Na -driven multidrug efflux pump,,,MATE family efflux,inferred,product/eggNOG,ambiguous,exporter,NA,ACZ81_06020
Alteromonas macleodii HOT1A3,ACZ81_06020,ACZ81_S0252,1,other,other/unclear,Helicase_C ; ResIII ; UVR ; UvrB ; UvrB_inter,"uvrB :: excinuclease ABC subunit UvrB :: The UvrABC repair system catalyzes the recognition and processing of DNA lesions. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. Upon binding of the UvrA(2)B(2) complex to a putative damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage",K03702,,excinuclease,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06025,ACZ81_S0253,1,other,other/unclear,HTH_1 ; LysR_substrate,LysR family transcriptional regulator :: Transcriptional regulator,K21699,,"LysR family transcriptional regulator, transcriptional activator for bauABCD operon",confident,KO,ambiguous,importer,NA,ACZ81_06020|ACZ81_06030
Alteromonas macleodii HOT1A3,ACZ81_06040,ACZ81_S0024,1,ABC-orphan-SBP,substrate-binding,SBP_bac_3,type 2 periplasmic-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_06035
Alteromonas macleodii HOT1A3,ACZ81_06075,ACZ81_S0254,1,other,other/unclear,CitMHS ; TrkA_C,SLC13 family permease :: COG0471 Di- and tricarboxylate transporters,,,SLC13 family,inferred,product/eggNOG,organic-C,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06100,ACZ81_S0255,1,other,other/unclear,SSF,putP :: sodium/proline symporter PutP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307 ; K11928,2.A.21.2,solute:Na+,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06130,ACZ81_S0256,1,other,other/unclear,TPR_1 ; TPR_2 ; VWA_2,VWA domain-containing protein :: protein containing a von Willebrand factor type A (vWA) domain,K07114,1.A.13.2.2 ; 1.A.13.2.3,Ca-activated chloride channel homolog,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06135,ACZ81_S0257,1,other,other/unclear,VWA,batA :: vWA domain-containing protein :: protein containing a von Willebrand factor type A (vWA) domain,K07114,1.A.13.2.2 ; 1.A.13.2.3,Ca-activated chloride channel homolog,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06185,ACZ81_S0258,1,other,other/unclear,CBS ; CorC_HlyC ; CNNM,yfjD :: HlyC/CorC family transporter :: Plays a role in the transport of magnesium and cobalt ions,,,HlyC/CorC family,inferred,product/eggNOG,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06190,ACZ81_S0259,1,other,other/unclear,Cytochrom_C_asm,"ypjD :: cytochrome C assembly family protein :: transport system, permease component",,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06195,ACZ81_S0260,1,other,other/unclear,SRP54 ; SRP54_N ; SRP_SPB,"ffh :: signal recognition particle protein :: Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components",K03106,3.A.5.1 ; 3.A.5.2 ; 3.A.5.7 ; 3.A.5.8 ; 3.A.5.9,signal recognition particle subunit SRP54 [EC:3.6.5.4],confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06230,ACZ81_S0261,1,other,other/unclear,ACR_tran,efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,K18138,2.A.6.2,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,ACZ81_06225
Alteromonas macleodii HOT1A3,ACZ81_06235,ACZ81_S0262,1,other,other/unclear,,efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06240,ACZ81_S0025,1,other-permease,permease,ABC_membrane ; ABC_tran,"draA :: ABC transporter transmembrane domain-containing protein :: COG1132 ABC-type multidrug transport system, ATPase and permease components",K06147 ; K11085,3.A.1.106 ; 3.A.1.109 ; 3.A.1.21,draA ::,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06275,ACZ81_S0263,1,other,other/unclear,Gly_transporter,trimeric intracellular cation channel family protein :: UPF0126 domain,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_06280
Alteromonas macleodii HOT1A3,ACZ81_06415,ACZ81_S0264,1,other,other/unclear,MotA_ExbB,"tolQ :: protein TolQ :: Part of the Tol-Pal system, which plays a role in outer membrane invagination during cell division and is important for maintaining outer membrane integrity",K03562,1.A.30.2.2,biopolymer,confident,KO,ambiguous,importer,NA,ACZ81_06410
Alteromonas macleodii HOT1A3,ACZ81_06420,ACZ81_S0265,1,other,other/unclear,ExbD,tolR :: protein TolR :: Biopolymer transport protein,K03560,1.A.30.2.2,biopolymer,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06425,ACZ81_S0266,1,other,other/unclear,TolA,tolA :: cell envelope integrity protein TolA :: COG3064 Membrane protein involved in colicin uptake,K03646,2.C.1.2,colicin import membrane protein,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06430,ACZ81_S0267,1,other,other/unclear,PD40 ; TolB_N,"tolB :: Tol-Pal system beta propeller repeat protein TolB :: Part of the Tol-Pal system, which plays a role in outer membrane invagination during cell division and is important for maintaining outer membrane integrity",K03641,2.C.1.2,TolB protein,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06435,ACZ81_S0268,1,other,other/unclear,OmpA,"pal :: peptidoglycan-associated lipoprotein Pal :: Part of the Tol-Pal system, which plays a role in outer membrane invagination during cell division and is important for maintaining outer membrane integrity",K03640,2.C.1.2,peptidoglycan-associated lipoprotein,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06540,ACZ81_S0269,1,other,other/unclear,,"hypothetical protein :: ABC-type phosphate transport system, periplasmic component",,,unresolved,inferred,none,inorganic,importer,NA,ACZ81_06535
Alteromonas macleodii HOT1A3,ACZ81_06560,ACZ81_S0270,1,other,other/unclear,ACR_tran,efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,K18138,2.A.6.2,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06565,ACZ81_S0271,1,other,other/unclear,,efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06575,ACZ81_S0272,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K16090,1.B.14.1.11,catecholate siderophore,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06590,ACZ81_S0273,1,other,other/unclear,ACR_tran,efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06595,ACZ81_S0274,1,other,other/unclear,BSH_RND,efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_06605,ACZ81_S0026,1,other-permease,ATP-binding,ABC_trans_aux,ymbA :: PqiC family protein :: ABC-type transport auxiliary lipoprotein component,K09857,,intermembrane,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06610,ACZ81_S0275,1,other,other/unclear,MlaD,pqiB :: intermembrane transport protein PqiB :: Paraquat-inducible protein B,K06192,,intermembrane,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06615,ACZ81_S0276,1,other,other/unclear,PqiA,pqiA :: paraquat-inducible protein A,K03808,,intermembrane,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06635,ACZ81_S0277,1,other,other/unclear,Na_Ca_ex,calcium/sodium antiporter :: COG0530 Ca2 Na antiporter,K07301,2.A.19.5,cation:H+,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06695,ACZ81_S0027,2,other-permease,permease,FecCD,FecCD family ABC transporter permease :: Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,K02015 ; K06073,3.A.1.13 ; 3.A.1.14,iron complex,confident,KO,inorganic,importer,NA,ACZ81_06705
Alteromonas macleodii HOT1A3,ACZ81_06700,ACZ81_S0027,2,other-permease,ATP-binding,ABC_tran,ABC transporter ATP-binding protein :: ATPases associated with a variety of cellular activities,K02013 ; K06074,3.A.1.13 ; 3.A.1.14,iron complex,confident,KO,inorganic,importer,NA,ACZ81_06705
Alteromonas macleodii HOT1A3,ACZ81_06710,ACZ81_S0278,1,other,sensor-kinase-EXCLUDE,DUF4118 ; GAF_3 ; HATPase_c ; HisKA ; KdpD ; Usp,kdpD :: sensor histidine kinase,K07646,,"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]",confident,KO,dual-C+N,importer,NA,ACZ81_06705
Alteromonas macleodii HOT1A3,ACZ81_06720,ACZ81_S0279,1,other,other/unclear,TrkA_C ; TrkA_N,ktrA :: potassium channel family protein :: COG0569 K transport systems NAD-binding component,K03499,2.A.38.1 ; 2.A.38.4,trk/ktr system potassium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06725,ACZ81_S0280,1,secondary-carrier,secondary-carrier,TrkH,"ktrB :: TrkH family potassium uptake protein :: COG0168 Trk-type K transport systems, membrane components",K03498,2.A.38.1 ; 2.A.38.4,trk/ktr system potassium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_06740,ACZ81_S0028,1,other-permease,permease,ABC_membrane ; ABC_tran,"atmA :: ABCB family ABC transporter ATP-binding protein/permease :: COG5265 ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components",K06147,3.A.1.106 ; 3.A.1.109 ; 3.A.1.21,ABCB family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_06750
Alteromonas macleodii HOT1A3,ACZ81_06840,ACZ81_S0029,1,other-permease,ATP-binding,ABC_tran,"ybbA :: ABC transporter ATP-binding protein :: ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component",K02003,The ATP-binding Cassette (ABC) Superfamily,ybbA ::,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_06835
Alteromonas macleodii HOT1A3,ACZ81_06845,ACZ81_S0281,1,other,other/unclear,FtsX,"ybbP :: ABC transporter permease :: ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component",K02004,The ATP-binding Cassette (ABC) Superfamily,ybbP ::,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_06850
Alteromonas macleodii HOT1A3,ACZ81_06860,ACZ81_S0282,1,other,other/unclear,AI-2E_transport,tqsA :: AI-2E family transporter,K11744,,AI-2,confident,KO,ambiguous,importer,NA,ACZ81_06855
Alteromonas macleodii HOT1A3,ACZ81_06975,ACZ81_S0283,1,other,other/unclear,BamE,"bamE :: outer membrane protein assembly factor BamE :: Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",K06186,1.B.33.1,outer membrane protein assembly factor BamE,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07020,ACZ81_S0284,1,other,other/unclear,CitMHS ; GntP_permease,GntP family permease :: COG2610 H gluconate symporter and related permeases,,,GntP family,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_07015
Alteromonas macleodii HOT1A3,ACZ81_07025,ACZ81_S0285,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07035,ACZ81_S0286,1,other,sensor-kinase-EXCLUDE,HATPase_c ; HisKA ; PAS_7 ; Response_reg ; SSF,hybrid sensor histidine kinase/response regulator :: PAS fold,,,hybrid sensor histidine kinase/response regulator,inferred,product/eggNOG,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07045,ACZ81_S0287,1,other,other/unclear,HSP70,dnaK :: molecular chaperone DnaK :: Acts as a chaperone,K04043,1.A.33.1,molecular chaperone DnaK,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07150,ACZ81_S0288,1,other,other/unclear,CBS ; CorC_HlyC ; NMB0537_N,corC :: CNNM family magnesium/cobalt transport protein CorC :: Plays a role in the transport of magnesium and cobalt ions,K06189,9.A.40.1.2,CNNM family magnesium/cobalt,inferred,product/eggNOG,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07200,ACZ81_S0289,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor plug domain-containing protein :: COG1629 Outer membrane receptor proteins, mostly Fe transport",K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,ACZ81_07205
Alteromonas macleodii HOT1A3,ACZ81_07230,ACZ81_S0290,1,other,other/unclear,Na_Ala_symp,alsT :: alanine/glycine:cation symporter family protein :: alanine symporter,K03310,The Alanine or Glycine:Cation Symporter (AGCS) Family,alanine or glycine:cation,confident,KO,ambiguous,importer,NA,ACZ81_07275
Alteromonas macleodii HOT1A3,ACZ81_07360,ACZ81_S0291,1,other,other/unclear,HTH_1 ; LysR_substrate,gcvA :: transcriptional regulator GcvA :: COG0583 Transcriptional regulator,K03566,,"LysR family transcriptional regulator, glycine cleavage system transcriptional activator",confident,KO,ambiguous,importer,NA,ACZ81_07365
Alteromonas macleodii HOT1A3,ACZ81_07395,ACZ81_S0292,1,other,other/unclear,Form_Nir_trans,fnt :: formate/nitrite transporter family protein :: COG2116 Formate nitrite family of transporters,K06212 ; K21993,1.A.16.1.1 ; 1.A.16.1.3 ; 1.A.16.2,formate,confident,KO,inorganic,importer,NA,ACZ81_07390
Alteromonas macleodii HOT1A3,ACZ81_07450,ACZ81_S0293,1,other,other/unclear,SDF,gltP :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,,,dicarboxylate/amino acid:cation,inferred,product/eggNOG,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07475,ACZ81_S0294,1,other,other/unclear,PTS_EIIA_1,"crr :: PTS sugar transporter subunit IIA :: phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",K02777,4.A.1.1.1,sugar PTS system EIIA component [EC:2.7.1.-],confident,KO,organic-C,importer,NA,ACZ81_07470
Alteromonas macleodii HOT1A3,ACZ81_07720,ACZ81_S0295,1,other,other/unclear,ACR_tran,czcA :: efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,K18138,2.A.6.2,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,ACZ81_07715
Alteromonas macleodii HOT1A3,ACZ81_07725,ACZ81_S0296,1,other,other/unclear,,ttgA :: efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_07730,ACZ81_S0297,1,other,other/unclear,Na_H_Exchanger ; TrkA_N,kefC :: monovalent cation:proton antiporter-2 (CPA2) family protein :: Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,K03455 ; K11745 ; K11747,The Monovalent Cation:Proton Antiporter-2 (CPA2) Family ; 2.A.37.1.1 ; 2.A.37.1.2,K+:H+,confident,KO,dual-C+N,exporter,NA,ACZ81_07735
Alteromonas macleodii HOT1A3,ACZ81_07735,ACZ81_S0298,1,other,other/unclear,Flavodoxin_2,ywrO :: NAD(P)H-dependent oxidoreductase :: Flavodoxin-like fold,K11748,2.A.37.1.2,glutathione-regulated potassium-efflux system ancillary protein KefG,confident,KO,dual-C+N,exporter,NA,ACZ81_07740
Alteromonas macleodii HOT1A3,ACZ81_07785,ACZ81_S0299,1,other,other/unclear,Transthyretin,uraH :: hydroxyisourate hydrolase :: Catalyzes the hydrolysis of 5-hydroxyisourate (HIU) to 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU),K07127,9.B.35.1.2 ; 9.B.35.2,5-hydroxyisourate hydrolase [EC:3.5.2.17],confident,KO,ambiguous,importer,NA,ACZ81_07780|ACZ81_07790
Alteromonas macleodii HOT1A3,ACZ81_07825,ACZ81_S0300,1,secondary-carrier,secondary-carrier,Xan_ur_permease,yjcD :: NCS2 family permease :: COG2252 Permeases,K06901,2.A.1.40,adenine/guanine/hypoxanthine,confident,KO,ambiguous,importer,NA,ACZ81_07830
Alteromonas macleodii HOT1A3,ACZ81_07855,ACZ81_S0301,1,other,other/unclear,Cupin_5 ; NUP,purine nucleoside permease :: Purine nucleoside permease,,,purine nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07860,ACZ81_S0302,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent siderophore receptor :: receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07865,ACZ81_S0303,1,secondary-carrier,secondary-carrier,Xan_ur_permease,xanQ :: uracil-xanthine permease family protein :: xanthine,K03458 ; K16345 ; K16346,The Nucleobase/Ascorbate Transporter (NAT) or Nucleobase:Cation Symporter-2 (NCS2) Family ; 2.A.40.4.2 ; 2.A.40.4.3,nucleobase:cation,confident,KO,ambiguous,importer,NA,ACZ81_07870
Alteromonas macleodii HOT1A3,ACZ81_07890,ACZ81_S0304,1,other,other/unclear,TauE,sulfite exporter TauE/SafE family protein :: membrane transporter protein,,,unresolved,inferred,none,inorganic,exporter,NA,ACZ81_07885
Alteromonas macleodii HOT1A3,ACZ81_07920,ACZ81_S0305,1,other,other/unclear,MS_channel_2nd,mechanosensitive ion channel family protein :: Mechanosensitive ion channel,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_07915
Alteromonas macleodii HOT1A3,ACZ81_07975,ACZ81_S0306,1,other,other/unclear,BBP2_2,outer membrane beta-barrel protein :: Putative beta-barrel porin 2,K20920,1.B.66.3.1 ; 1.B.66.3.2,polysaccharide biosynthesis protein VpsM,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_07980,ACZ81_S0307,1,other,other/unclear,Poly_export ; SLBB,gumB :: polysaccharide biosynthesis/export family protein :: COG1596 Periplasmic protein involved in polysaccharide export,K20988,The Outer Membrane Auxiliary (OMA) Protein Family,polysaccharide biosynthesis/export protein VpsN,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_07985,ACZ81_S0308,1,other,other/unclear,AAA_31 ; CbiA ; GNVR ; Wzz,GumC family protein :: protein involved in exopolysaccharide biosynthesis,K16554 ; K16692,8.A.3.1,polysaccharide biosynthesis,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08165,ACZ81_S0309,1,other,other/unclear,FtsX ; MacB_PCD,"lolC :: lipoprotein-releasing ABC transporter permease subunit :: COG4591 ABC-type transport system, involved in lipoprotein release, permease component",K09808,3.A.1.125,lipoprotein-releasing system,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_08180,ACZ81_S0310,1,other,other/unclear,CbiM,energy-coupling factor ABC transporter permease :: membrane,,,energy-coupling factor,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_08185
Alteromonas macleodii HOT1A3,ACZ81_08220,ACZ81_S0311,1,secondary-carrier,secondary-carrier,MFS_1,spinster family MFS transporter :: Sugar (and other) transporter,,,spinster family MFS,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_08215|ACZ81_08225
Alteromonas macleodii HOT1A3,ACZ81_08240,ACZ81_S0312,1,secondary-carrier,secondary-carrier,MFS_1,MFS transporter :: Major facilitator superfamily,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08295,ACZ81_S0030,1,ABC-orphan-SBP,substrate-binding,GGDEF ; SBP_bac_3,"diguanylate cyclase :: COG0834 ABC-type amino acid transport signal transduction systems, periplasmic component domain",,,diguanylate cyclase,inferred,product/eggNOG,dual-C+N,importer,sensory,
Alteromonas macleodii HOT1A3,ACZ81_08330,ACZ81_S0313,1,other,other/unclear,CarbopepD_reg_2 ; CarboxypepD_reg ; Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_08335
Alteromonas macleodii HOT1A3,ACZ81_08345,ACZ81_S0314,1,other,other/unclear,Na_H_antiporter,Na+/H+ antiporter NhaC family protein :: Na H antiporter,,,Na+/H+,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08415,ACZ81_S0031,1,other-permease,ATP-binding,ABC_tran,"lolD :: lipoprotein-releasing ABC transporter ATP-binding protein LolD :: Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner",K09810,3.A.1.125,lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-],confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_08420,ACZ81_S0315,1,other,other/unclear,FtsX ; MacB_PCD,"lolE :: lipoprotein-releasing ABC transporter permease subunit :: COG4591 ABC-type transport system, involved in lipoprotein release, permease component",K09808,3.A.1.125,lipoprotein-releasing system,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_08425,ACZ81_S0316,1,other,other/unclear,SDF,gltT :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,K03309,The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family,dicarboxylate/amino acid:cation (Na+ or H+),confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08455,ACZ81_S0317,1,other,other/unclear,HTH_1 ; LysR_substrate,LysR family transcriptional regulator :: Transcriptional regulator,K11921,,"LysR family transcriptional regulator, cyn operon transcriptional activator",confident,KO,ambiguous,importer,NA,ACZ81_08450
Alteromonas macleodii HOT1A3,ACZ81_08480,ACZ81_S0318,1,other,other/unclear,GST_C ; GST_C_2 ; GST_N ; GST_N_3,"glutathione binding-like protein :: Glutathione S-transferase, C-terminal domain",K00799,1.A.12.2.2 ; 1.A.12.3.2,glutathione S-transferase [EC:2.5.1.18],confident,KO,dual-C+N,importer,NA,ACZ81_08475
Alteromonas macleodii HOT1A3,ACZ81_08485,ACZ81_S0319,1,other,other/unclear,DUF1348,nuclear transport factor 2 family protein,K09958,,nuclear,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08490,ACZ81_S0320,1,other,other/unclear,HTH_1 ; LysR_substrate,"LysR family transcriptional regulator :: Bacterial regulatory helix-turn-helix protein, lysR family",,,LysR family transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08690,ACZ81_S0321,1,other,other/unclear,,purine-cytosine permease family protein :: COG1457 Purine-cytosine permease and related proteins,K03457,The Nucleobase:Cation Symporter-1 (NCS1) Family,nucleobase:cation,confident,KO,dual-C+N,importer,NA,ACZ81_08685|ACZ81_08695
Alteromonas macleodii HOT1A3,ACZ81_08705,ACZ81_S0322,1,other,other/unclear,HTH_1 ; LysR_substrate,LysR family transcriptional regulator :: Transcriptional regulator,,,LysR family transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_08710
Alteromonas macleodii HOT1A3,ACZ81_08715,ACZ81_S0323,1,other,other/unclear,MS_channel_2nd ; MS_channel_1st_1,mechanosensitive ion channel family protein :: Mechanosensitive ion channel,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_08720,ACZ81_S0324,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_08725
Alteromonas macleodii HOT1A3,ACZ81_08850,ACZ81_S0325,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent siderophore receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,ACZ81_08845
Alteromonas macleodii HOT1A3,ACZ81_08900,ACZ81_S0326,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_08905
Alteromonas macleodii HOT1A3,ACZ81_08915,ACZ81_S0032,3,ABC-cassette-complete,substrate-binding,SBP_bac_8,ynjB :: ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,K05777,,ynjB ::,inferred,product/eggNOG,inorganic,importer,NA,
