system_id,locus_tags,gene_names,n_genes,KO_ids,component_roles,substrate_call,resolution_level,confidence_flag,source,substrate_evidence,substrate_options,importer_or_exporter,organic_or_inorganic,gene_categories
HOT1A3_TS133,ACZ81_05215,fliO,1,kegg.orthology:K02418,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"fliO, fliZ; flagellar protein FliO/FliZ",,non_transporter,unknown,Cell motility
HOT1A3_TS134,ACZ81_05220,fliP,1,kegg.orthology:K02419,-,unresolved,unresolved,none,,fliP; flagellar biosynthesis protein FliP,,exporter,unknown,Cell motility
HOT1A3_TS135,ACZ81_05225,fliQ,1,kegg.orthology:K02420,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),fliQ; flagellar biosynthesis protein FliQ,,non_transporter,unknown,Cell motility
HOT1A3_TS136,ACZ81_05230,fliR,1,kegg.orthology:K02421,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),fliR; flagellar biosynthesis protein FliR,,non_transporter,unknown,Cell motility
HOT1A3_TS137,ACZ81_05235,flhB,1,kegg.orthology:K02401,-,unresolved,unresolved,none,,flhB; flagellar biosynthesis protein FlhB,,exporter,unknown,Cell motility
HOT1A3_TS138,ACZ81_05250,flhA,1,kegg.orthology:K02400,-,unresolved,unresolved,none,,flhA; flagellar biosynthesis protein FlhA,,exporter,unknown,Cell motility
HOT1A3_TS139,ACZ81_05355,,1,kegg.orthology:K03321,PERM,sulfate,specific_compound,confident,kegg_ko,"TC.SULP; sulfate permease, SulP family",,importer,inorganic,Inorganic ion transport
HOT1A3_TS140,ACZ81_05370,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Inorganic ion transport
HOT1A3_TS141,ACZ81_05425,oadG,1,kegg.orthology:K01573,-,sodium,specific_compound,inferred,reclassified: enzyme / biosynthesis (not a membrane solute transporter),Lyase and sodium transporter,,non_transporter,inorganic,Energy production
HOT1A3_TS142,ACZ81_05430,oadA,1,kegg.orthology:K01571,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2],,non_transporter,unknown,Energy production
HOT1A3_TS143,ACZ81_05435,oadB,1,kegg.orthology:K01572,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),K01572,,non_transporter,unknown,Energy production
HOT1A3_TS144,ACZ81_05440;ACZ81_05445;ACZ81_05450;ACZ81_05455;ACZ81_05460,dppF;sapD;sapC;dppB;sapA,5,kegg.orthology:K12372;kegg.orthology:K02031;kegg.orthology:K12370;kegg.orthology:K12369;kegg.orthology:K12368,ATP;ATP;PERM;PERM;SBP,dipeptide,narrow_class,confident,kegg_ko,dppF; dipeptide transport system ATP-binding protein,,importer,organic,Amino acid metabolism;Defense mechanisms;Inorganic ion transport
HOT1A3_TS145,ACZ81_05525,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS146,ACZ81_05530,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS147,ACZ81_05565,,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
HOT1A3_TS148,ACZ81_05570,exbB2,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
HOT1A3_TS149,ACZ81_05575,exbD2,1,kegg.orthology:K03559,-,unresolved,unresolved,none,,exbD; biopolymer transport protein ExbD,,importer,unknown,Intracellular trafficking
HOT1A3_TS150,ACZ81_05580,tonB2,1,kegg.orthology:K03832,-,unresolved,unresolved,none,,tonB; periplasmic protein TonB,,importer,unknown,Intracellular trafficking
HOT1A3_TS151,ACZ81_05600,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS152,ACZ81_05610,pnuC,1,kegg.orthology:K03811,-,nicotinamide mononucleotide,specific_compound,confident,kegg_ko,pnuC; nicotinamide mononucleotide transporter,,importer,organic,Coenzyme metabolism
HOT1A3_TS153,ACZ81_05640,,1,,PERM,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS154,ACZ81_05675,yiaV,1,kegg.orthology:K03543,-,unresolved,unresolved,none,,"emrA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Defense mechanisms
HOT1A3_TS155,ACZ81_05695,cstA,1,kegg.orthology:K06200,-,unresolved,unresolved,none,,cstA; carbon starvation protein,,importer,unknown,Signal transduction
HOT1A3_TS156,ACZ81_05870,hcaT,1,kegg.orthology:K05820,PERM,3-phenylpropionic acid,specific_compound,inferred,kegg_ko_keyword,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",,importer,organic,Amino acid metabolism
HOT1A3_TS157,ACZ81_05900,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS158,ACZ81_05915,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS159,ACZ81_05935,motY,1,kegg.orthology:K21218,-,unresolved,unresolved,none,,motY; sodium-type flagellar protein MotY,,importer,unknown,Cell wall and membrane
HOT1A3_TS160,ACZ81_06015,,1,,-,unresolved,unresolved,none,,MATE family efflux transporter,,exporter,unknown,Defense mechanisms
HOT1A3_TS161,ACZ81_06075,,1,,PERM,carboxylate,broad_class,inferred,function_description,COG0471 Di- and tricarboxylate transporters,,importer,organic,Inorganic ion transport
HOT1A3_TS162,ACZ81_06100,putP,1,kegg.orthology:K03307,-,proline,specific_compound,inferred,product,sodium/proline symporter PutP,,importer,organic,Amino acid metabolism
HOT1A3_TS163,ACZ81_06130,,1,kegg.orthology:K07114,-,Ca-activated chloride,specific_compound,confident,kegg_ko,yfbK; Ca-activated chloride channel homolog,,importer,inorganic,Transcription
HOT1A3_TS164,ACZ81_06135,batA,1,kegg.orthology:K07114,-,Ca-activated chloride,specific_compound,confident,kegg_ko,yfbK; Ca-activated chloride channel homolog,,importer,inorganic,Unknown
HOT1A3_TS165,ACZ81_06185,yfjD,1,,-,unresolved,unresolved,none,,HlyC/CorC family transporter,,importer,unknown,Inorganic ion transport
HOT1A3_TS166,ACZ81_06190,ypjD,1,,PERM,unresolved,unresolved,none,,cytochrome C assembly family protein,,importer,unknown,Unknown
HOT1A3_TS167,ACZ81_06195,ffh,1,kegg.orthology:K03106,-,unresolved,unresolved,none,,"SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]",,importer,unknown,Intracellular trafficking
HOT1A3_TS168,ACZ81_06230,,1,kegg.orthology:K18138,PERM,unresolved,unresolved,none,,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,exporter,unknown,Defense mechanisms
HOT1A3_TS169,ACZ81_06235;ACZ81_06240,;draA,2,kegg.orthology:K06147,-;ATP,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS170,ACZ81_06275,,1,,-,unresolved,unresolved,none,,trimeric intracellular cation channel family protein,,importer,unknown,Unknown
HOT1A3_TS171,ACZ81_06415,tolQ,1,kegg.orthology:K03562,-,unresolved,unresolved,none,,tolQ; biopolymer transport protein TolQ,,importer,unknown,Intracellular trafficking
HOT1A3_TS172,ACZ81_06420,tolR,1,kegg.orthology:K03560,-,unresolved,unresolved,none,,tolR; biopolymer transport protein TolR,,importer,unknown,Intracellular trafficking
HOT1A3_TS173,ACZ81_06425,tolA,1,kegg.orthology:K03646,-,unresolved,unresolved,none,,tolA; colicin import membrane protein,,importer,unknown,Cell wall and membrane
HOT1A3_TS174,ACZ81_06430,tolB,1,kegg.orthology:K03641,-,unresolved,unresolved,none,,tolB; TolB protein,,importer,unknown,Intracellular trafficking
HOT1A3_TS175,ACZ81_06435,pal,1,kegg.orthology:K03640,-,unresolved,unresolved,none,,pal; peptidoglycan-associated lipoprotein,,importer,unknown,Cell wall and membrane
HOT1A3_TS176,ACZ81_06510,,1,,-,phosphate,specific_compound,inferred,product,OprO/OprP family phosphate-selective porin,,importer,inorganic,Inorganic ion transport
HOT1A3_TS177,ACZ81_06540,,1,,SBP,phosphate,specific_compound,inferred,function_description,"ABC-type phosphate transport system, periplasmic component",,importer,inorganic,Inorganic ion transport
HOT1A3_TS178,ACZ81_06560,,1,kegg.orthology:K18138,PERM,unresolved,unresolved,none,,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,exporter,unknown,Defense mechanisms
HOT1A3_TS179,ACZ81_06565,,1,,-,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane
HOT1A3_TS180,ACZ81_06575,,1,kegg.orthology:K16090,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,fiu; catecholate siderophore receptor,,importer,inorganic,Inorganic ion transport
HOT1A3_TS181,ACZ81_06590,,1,,PERM,unresolved,unresolved,none,,efflux RND transporter permease subunit,,exporter,unknown,Defense mechanisms
HOT1A3_TS182,ACZ81_06595,,1,,-,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane
HOT1A3_TS183,ACZ81_06605,ymbA,1,kegg.orthology:K09857,-,unresolved,unresolved,none,,pqiC; intermembrane transport lipoprotein PqiC,,importer,unknown,Unknown
HOT1A3_TS184,ACZ81_06610,pqiB,1,kegg.orthology:K06192,-,unresolved,unresolved,none,,"pqiB, letB; intermembrane transport protein PqiB/LetB",,importer,unknown,Secondary metabolites
HOT1A3_TS185,ACZ81_06615,pqiA,1,kegg.orthology:K03808,-,unresolved,unresolved,none,,"pqiA, letA; intermembrane transport protein PqiA/LetA",,importer,unknown,Unknown
HOT1A3_TS186,ACZ81_06635,,1,kegg.orthology:K07301,-,calcium,specific_compound,inferred,product,calcium/sodium antiporter,,importer,inorganic,Inorganic ion transport
HOT1A3_TS187,ACZ81_06695;ACZ81_06700,;,2,kegg.orthology:K02015;kegg.orthology:K02013,PERM;ATP,iron complex,specific_compound,confident,kegg_ko,ABC.FEV.P; iron complex transport system permease protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS188,ACZ81_06720,ktrA,1,kegg.orthology:K03499,SBP,potassium,specific_compound,inferred,kegg_ko_keyword,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
HOT1A3_TS189,ACZ81_06725,ktrB,1,kegg.orthology:K03498,-,potassium,specific_compound,inferred,kegg_ko_keyword,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
HOT1A3_TS190,ACZ81_06740,atmA,1,kegg.orthology:K06147,ATP,unresolved,unresolved,none,,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",,importer,unknown,Defense mechanisms
HOT1A3_TS191,ACZ81_06840;ACZ81_06845,ybbA;ybbP,2,kegg.orthology:K02003;kegg.orthology:K02004,ATP;PERM,unresolved,unresolved,none,,ABC.CD.A; putative ABC transport system ATP-binding protein,,importer,unknown,Secondary metabolites
HOT1A3_TS192,ACZ81_06860,tqsA,1,kegg.orthology:K11744,-,unresolved,unresolved,none,,tqsA; AI-2 transport protein TqsA,,importer,unknown,Unknown
HOT1A3_TS193,ACZ81_06975,bamE,1,kegg.orthology:K06186,-,unresolved,unresolved,none,,"bamE, smpA; outer membrane protein assembly factor BamE",,importer,unknown,Translation
HOT1A3_TS194,ACZ81_07020,,1,,PERM,gluconate,specific_compound,inferred,function_description,COG2610 H gluconate symporter and related permeases,,importer,organic,Amino acid metabolism
HOT1A3_TS195,ACZ81_07025,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS196,ACZ81_07045,dnaK,1,kegg.orthology:K04043,-,unresolved,unresolved,none,,"dnaK, HSPA9; molecular chaperone DnaK",,importer,unknown,Post-translational modification
HOT1A3_TS197,ACZ81_07150,corC,1,kegg.orthology:K06189,-,magnesium,specific_compound,inferred,product,CNNM family magnesium/cobalt transport protein CorC,,importer,inorganic,Inorganic ion transport
HOT1A3_TS198,ACZ81_07200,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS199,ACZ81_07230,alsT,1,kegg.orthology:K03310,-,glycine,specific_compound,inferred,kegg_ko_keyword,"TC.AGCS; alanine or glycine:cation symporter, AGCS family",,importer,organic,Amino acid metabolism
HOT1A3_TS200,ACZ81_07395,fnt,1,kegg.orthology:K06212,-,nitrite,specific_compound,inferred,product,formate/nitrite transporter family protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS201,ACZ81_07450,gltP,1,,-,amino acid,broad_class,inferred,product,dicarboxylate/amino acid:cation symporter,,importer,organic,Intracellular trafficking
HOT1A3_TS202,ACZ81_07475,crr,1,kegg.orthology:K02777,-,sugar,broad_class,inferred,kegg_ko_keyword,crr; sugar PTS system EIIA component [EC:2.7.1.-],,importer,organic,Carbohydrate metabolism
HOT1A3_TS203,ACZ81_07720,czcA,1,kegg.orthology:K18138,PERM,unresolved,unresolved,none,,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,exporter,unknown,Defense mechanisms
HOT1A3_TS204,ACZ81_07725,ttgA,1,,-,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane
HOT1A3_TS205,ACZ81_07730,kefC,1,kegg.orthology:K03455,-,unresolved,unresolved,none,,"KEA1_2_3, kefB, kefC; K+:H+ antiporter",,importer,unknown,Inorganic ion transport
HOT1A3_TS206,ACZ81_07735,ywrO,1,kegg.orthology:K11748,-,unresolved,unresolved,none,,kefG; glutathione-regulated potassium-efflux system ancillary protein KefG,,exporter,unknown,Unknown
HOT1A3_TS207,ACZ81_07785,uraH,1,kegg.orthology:K07127,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]",,non_transporter,unknown,Unknown
HOT1A3_TS208,ACZ81_07825,yjcD,1,kegg.orthology:K06901,PERM,adenine/guanine/hypoxanthine,multi_substrate,confident,kegg_ko,"pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease",adenine; guanine; hypoxanthine,importer,organic,Unknown
HOT1A3_TS209,ACZ81_07855,,1,,PERM,nucleoside,narrow_class,inferred,product,purine nucleoside permease,,importer,organic,Nucleotide metabolism
HOT1A3_TS210,ACZ81_07860,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS211,ACZ81_07865,xanQ,1,kegg.orthology:K03458,PERM,unresolved,unresolved,none,,"TC.NCS2; nucleobase:cation symporter-2, NCS2 family",,importer,unknown,Nucleotide metabolism
HOT1A3_TS212,ACZ81_07890,,1,,-,unresolved,unresolved,none,,sulfite exporter TauE/SafE family protein,,exporter,unknown,Unknown
HOT1A3_TS213,ACZ81_07920,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS214,ACZ81_07975,,1,kegg.orthology:K20920,-,unresolved,unresolved,none,reclassified: surface-polysaccharide / cell-envelope biosynthesis-export (not a solute importer),vpsM; polysaccharide biosynthesis protein VpsM,,non_transporter,unknown,Unknown
HOT1A3_TS215,ACZ81_07980,gumB,1,kegg.orthology:K20988,-,unresolved,unresolved,none,,vpsN; polysaccharide biosynthesis/export protein VpsN,,exporter,unknown,Cell wall and membrane
HOT1A3_TS216,ACZ81_07985,,1,kegg.orthology:K16554,-,saccharide,broad_class,confident,reclassified: surface-polysaccharide / cell-envelope biosynthesis-export (not a solute importer),"exoP, vpsO; polysaccharide biosynthesis transport protein [EC:2.7.10.3]",,non_transporter,organic,Cell cycle and division
HOT1A3_TS217,ACZ81_08165,lolC,1,kegg.orthology:K09808,PERM,unresolved,unresolved,none,,lolC_E_F; lipoprotein-releasing system permease protein,,exporter,unknown,Cell wall and membrane
HOT1A3_TS218,ACZ81_08180,,1,,PERM,unresolved,unresolved,none,,energy-coupling factor ABC transporter permease,,importer,unknown,Unknown
HOT1A3_TS219,ACZ81_08220,,1,,-,sugar,broad_class,inferred,function_description,Sugar (and other) transporter,,importer,organic,Carbohydrate metabolism
HOT1A3_TS220,ACZ81_08240,,1,,-,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS221,ACZ81_08330,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS222,ACZ81_08345,,1,,-,unresolved,unresolved,none,,Na+/H+ antiporter NhaC family protein,,importer,unknown,Energy production
HOT1A3_TS223,ACZ81_08415;ACZ81_08420,lolD;lolE,2,kegg.orthology:K09810;kegg.orthology:K09808,ATP;PERM,unresolved,unresolved,none,,lolD; lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-],,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS224,ACZ81_08425,gltT,1,kegg.orthology:K03309,-,amino acid,broad_class,inferred,kegg_ko_keyword,"TC.DAACS; dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family",,importer,organic,Intracellular trafficking
HOT1A3_TS225,ACZ81_08480,,1,kegg.orthology:K00799,-,unresolved,unresolved,none,,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,importer,unknown,Post-translational modification
HOT1A3_TS226,ACZ81_08690,,1,kegg.orthology:K03457,PERM,unresolved,unresolved,none,,"TC.NCS1; nucleobase:cation symporter-1, NCS1 family",,importer,unknown,Nucleotide metabolism
HOT1A3_TS227,ACZ81_RS20815,ecnAB,1,kegg.orthology:K16348,-,unresolved,unresolved,none,,ecnB; entericidin B,,importer,unknown,Unknown
HOT1A3_TS228,ACZ81_08715,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS229,ACZ81_08720,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS230,ACZ81_08850,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS231,ACZ81_08900,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS232,ACZ81_08915;ACZ81_08920;ACZ81_08925,ynjB;ynjC;ynjD,3,kegg.orthology:K05777;kegg.orthology:K05778;kegg.orthology:K05779,SBP;PERM;ATP,unresolved,unresolved,none,,ynjB; putative thiamine transport system substrate-binding protein,,importer,unknown,Inorganic ion transport;Unknown
HOT1A3_TS233,ACZ81_08980,,1,kegg.orthology:K11748,-,unresolved,unresolved,none,,kefG; glutathione-regulated potassium-efflux system ancillary protein KefG,,exporter,unknown,Unknown
HOT1A3_TS234,ACZ81_09005;ACZ81_09010;ACZ81_09015;ACZ81_09020,;;;drrA,4,kegg.orthology:K02014;kegg.orthology:K01992;kegg.orthology:K01992;kegg.orthology:K01990,-;PERM;PERM;ATP,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Defense mechanisms;Inorganic ion transport;Unknown
HOT1A3_TS235,ACZ81_09090,betT,1,kegg.orthology:K02168,-,choline/glycine/proline betaine,multi_substrate,confident,kegg_ko,"betT, betS; choline/glycine/proline betaine transport protein",choline; glycine; proline betaine,importer,organic,Cell wall and membrane
HOT1A3_TS236,ACZ81_09095,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Coenzyme metabolism
HOT1A3_TS237,ACZ81_09325,lptE,1,kegg.orthology:K03643,-,unresolved,unresolved,none,reclassified: surface-polysaccharide / cell-envelope biosynthesis-export (not a solute importer),"lptE, rlpB; LPS-assembly lipoprotein",,non_transporter,unknown,Cell wall and membrane
HOT1A3_TS238,ACZ81_09390,secG,1,kegg.orthology:K03075,-,unresolved,unresolved,none,,secG; preprotein translocase subunit SecG,,exporter,unknown,Intracellular trafficking
HOT1A3_TS239,ACZ81_09445,putP,1,kegg.orthology:K03307,-,proline,specific_compound,inferred,product,sodium/proline symporter PutP,,importer,organic,Amino acid metabolism
HOT1A3_TS240,ACZ81_09460,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS241,ACZ81_09595,yhjX,1,,PERM,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Inorganic ion transport
HOT1A3_TS242,ACZ81_09610,yhjX,1,,PERM,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Inorganic ion transport
HOT1A3_TS243,ACZ81_09620,,1,kegg.orthology:K03832,-,unresolved,unresolved,none,,tonB; periplasmic protein TonB,,importer,unknown,Intracellular trafficking
HOT1A3_TS244,ACZ81_09650,cysZ,1,kegg.orthology:K06203,-,sulfate,specific_compound,inferred,product,sulfate transporter CysZ,,importer,inorganic,Amino acid metabolism
HOT1A3_TS245,ACZ81_09675,comA,1,kegg.orthology:K02238,-,unresolved,unresolved,none,,comEC; competence protein ComEC,,importer,unknown,Unknown
HOT1A3_TS246,ACZ81_09680,msbA,1,kegg.orthology:K11085,ATP,lipid,broad_class,inferred,product,lipid A export permease/ATP-binding protein MsbA,,exporter,organic,Defense mechanisms
HOT1A3_TS247,ACZ81_09705,,1,kegg.orthology:K02030,SBP,polar amino acid,narrow_class,confident,kegg_ko,ABC.PA.S; polar amino acid transport system substrate-binding protein,glutamate; aspartate; glutamine; arginine,importer,organic,Amino acid metabolism
HOT1A3_TS248,ACZ81_09815,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS249,ACZ81_09825,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Coenzyme metabolism
HOT1A3_TS250,ACZ81_09860,,1,kegg.orthology:K16211,PERM,maltose/moltooligosaccharide,multi_substrate,confident,kegg_ko,"malY, malT; maltose/moltooligosaccharide transporter",maltose; moltooligosaccharide,importer,organic,Carbohydrate metabolism
HOT1A3_TS251,ACZ81_10200,,1,kegg.orthology:K03308,-,sodium,specific_compound,inferred,product,sodium-dependent transporter,,importer,inorganic,Unknown
HOT1A3_TS252,ACZ81_10205,nhaC,1,kegg.orthology:K03315,-,unresolved,unresolved,none,,"nhaC; Na+:H+ antiporter, NhaC family",,importer,unknown,Energy production
HOT1A3_TS253,ACZ81_10235,,1,kegg.orthology:K07003,PERM,unresolved,unresolved,none,,K07003; uncharacterized protein,,exporter,unknown,Unknown
HOT1A3_TS254,ACZ81_10260,uup,1,kegg.orthology:K15738,ATP,unresolved,unresolved,none,,uup; ABC transport system ATP-binding/permease protein,,importer,unknown,Unknown
HOT1A3_TS255,ACZ81_10345,ybaL,1,kegg.orthology:K03455,-,unresolved,unresolved,none,,"KEA1_2_3, kefB, kefC; K+:H+ antiporter",,importer,unknown,Inorganic ion transport
HOT1A3_TS256,ACZ81_10365,ccoN,1,kegg.orthology:K00404,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9],,non_transporter,unknown,Energy production
HOT1A3_TS257,ACZ81_10370,ccoO,1,kegg.orthology:K00405,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccoO; cytochrome c oxidase cbb3-type subunit II,,non_transporter,unknown,Energy production
HOT1A3_TS258,ACZ81_10375,ccoQ,1,kegg.orthology:K00407,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccoQ; cytochrome c oxidase cbb3-type subunit IV,,non_transporter,unknown,Post-translational modification
HOT1A3_TS259,ACZ81_10380,ccoP,1,kegg.orthology:K00406,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccoP; cytochrome c oxidase cbb3-type subunit III,,non_transporter,unknown,Energy production
HOT1A3_TS260,ACZ81_10390,ccoI,1,kegg.orthology:K01533,ATP,unresolved,unresolved,none,,copB; P-type Cu2+ transporter [EC:7.2.2.9],,importer,unknown,Inorganic ion transport
HOT1A3_TS261,ACZ81_10400,braZ,1,kegg.orthology:K09792,-,unresolved,unresolved,none,,K09792; uncharacterized protein,,exporter,unknown,Unknown
HOT1A3_TS262,ACZ81_10440,,1,,-,lysine,specific_compound,inferred,function_description,Lysine exporter protein (LysE YggA),,exporter,organic,Amino acid metabolism
HOT1A3_TS263,ACZ81_10550,yccA,1,kegg.orthology:K19416,-,unresolved,unresolved,none,,yccA; modulator of FtsH protease,,importer,unknown,Unknown
HOT1A3_TS264,ACZ81_10585,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor plug domain-containing protein,,importer,unknown,Inorganic ion transport
HOT1A3_TS265,ACZ81_10595,fluC,1,kegg.orthology:K06199,-,unresolved,unresolved,none,,"crcB, FEX; fluoride exporter",,exporter,unknown,Cell cycle and division
HOT1A3_TS266,ACZ81_10610,ftsK,1,kegg.orthology:K03466,ATP,unresolved,unresolved,none,,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",,importer,unknown,Cell cycle and division
HOT1A3_TS267,ACZ81_10735,,1,,PERM,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS268,ACZ81_10745,bamC,1,kegg.orthology:K07287,-,unresolved,unresolved,none,,bamC; outer membrane protein assembly factor BamC,,importer,unknown,Cell wall and membrane
HOT1A3_TS269,ACZ81_10765,perM,1,kegg.orthology:K03548,PERM,unresolved,unresolved,none,,perM; putative permease,,importer,unknown,Unknown
HOT1A3_TS270,ACZ81_10880,mdtK,1,kegg.orthology:K03327,-,unresolved,unresolved,none,,"SLC47A, MATE, DTX; MATE family, multidrug and toxin extrusion protein",,exporter,unknown,Defense mechanisms
HOT1A3_TS271,ACZ81_11100,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS272,ACZ81_11115,,1,,PERM,unresolved,unresolved,none,,efflux RND transporter permease subunit,,exporter,unknown,Defense mechanisms
HOT1A3_TS273,ACZ81_11120,,1,,-,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane
