locus_tag,strain_short,substrates,tier,func_evidence,export_evidence
MASE_03435,ATCC27126,protein/peptide,A: degradative + exported,GO-MF serine-type endopeptidase activity,loc:Periplasmic
MASE_19230,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.22.- (Cysteine endopeptidases),
MASE_19255,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metallocarboxypeptidase activity,signal:Signal peptide (Sec/SPI)
MASE_19405,ATCC27126,protein/peptide,A: degradative + exported,Pfam Prolyl oligopeptidase family,signal:Signal peptide (Sec/SPI)
MASE_19415,ATCC27126,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,signal:Signal peptide (Sec/SPI)
MASE_19520,ATCC27126,protein/peptide,A: degradative + exported,Pfam Peptidase_C39 like family,signal:Lipoprotein signal peptide (Sec/SPII)
MASE_19530,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metalloendopeptidase activity,signal:Signal peptide (Sec/SPI)
MASE_19580,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metallopeptidase activity,signal:Signal peptide (Sec/SPI)
MASE_03440,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.21.107 (peptidase Do),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
MASE_03645,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.19.1 (acylaminoacyl-peptidase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
MASE_03745,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.11.- (Aminopeptidases),signal:Lipoprotein signal peptide (Sec/SPII)
MASE_03800,ATCC27126,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,signal:Signal peptide (Sec/SPI)
MASE_03865,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam Peptidase_C39 like family,
MASE_03875,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metalloendopeptidase activity,signal:Signal peptide (Sec/SPI)
MASE_04475,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.24.- (Metalloendopeptidases),
MASE_04585,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam Peptidase C39 family,
MASE_04910,ATCC27126,protein/peptide,A: degradative + exported,Pfam Peptidase M15,signal:Signal peptide (Sec/SPI)
MASE_04915,ATCC27126,protein/peptide,A: degradative + exported,"GO-MF peptidoglycan L,D-transpeptidase activity",signal:Signal peptide (Sec/SPI)
MASE_05045,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.24.71 (endothelin-converting enzyme 1),signal:Lipoprotein signal peptide (Sec/SPII)
MASE_05485,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metallopeptidase activity,signal:Lipoprotein signal peptide (Sec/SPII)
MASE_05630,ATCC27126,protein/peptide,A: degradative + exported,Pfam Peptidase family M28,loc:Extracellular;signal:Signal peptide (Sec/SPI)
MASE_05695,ATCC27126,protein/peptide,A: degradative + exported,Pfam Peptidase family M28,loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
MASE_05820,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam Insulinase (Peptidase family M16),
MASE_05880,ATCC27126,protein/peptide,A: degradative + exported,"Pfam Serine aminopeptidase, S33",signal:Lipoprotein signal peptide (Sec/SPII)
MASE_06375,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.17.- (Metallocarboxypeptidases),
MASE_06440,ATCC27126,protein/peptide,A: degradative + exported,Pfam Peptidase propeptide and YPEB domain,signal:Signal peptide (Sec/SPI)
MASE_06585,ATCC27126,protein/peptide,A: degradative + exported,Pfam Prolyl oligopeptidase family,loc:Periplasmic;signal:Signal peptide (Sec/SPI)
MASE_06610,ATCC27126,protein/peptide,A: degradative + exported,Pfam Aspartyl protease,signal:Signal peptide (Sec/SPI)
MASE_06735,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.13.9 (Xaa-Pro dipeptidase),signal:Signal peptide (Sec/SPI)
MASE_07015,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam D-alanyl-D-alanine carboxypeptidase,
MASE_07260,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.19.13 (glutathione gamma-glutamate hydrolase),loc:Periplasmic
MASE_07430,ATCC27126,protein/peptide,A: degradative + exported,Pfam Bacterial pre-peptidase C-terminal domain,signal:Signal peptide (Sec/SPI)
MASE_07650,ATCC27126,protein/peptide,A: degradative + exported,"Pfam Serine aminopeptidase, S33",signal:Signal peptide (Sec/SPI)
MASE_07795,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metalloendopeptidase activity,signal:Signal peptide (Sec/SPI)
MASE_07965,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.17.- (Metallocarboxypeptidases),signal:Lipoprotein signal peptide (Sec/SPII)
MASE_08070,ATCC27126,protein/peptide,A: degradative + exported,Pfam X-Pro dipeptidyl-peptidase (S15 family),signal:Signal peptide (Sec/SPI)
MASE_08225,ATCC27126,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
MASE_08550,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.- (Serine endopeptidases),
MASE_08595,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase),signal:Signal peptide (Sec/SPI)
MASE_08610,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase),
MASE_08680,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.24.- (Metalloendopeptidases),
MASE_08855,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.- (Serine endopeptidases),
MASE_08885,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase),
MASE_09205,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.- (Serine endopeptidases),
MASE_09380,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.24.- (Metalloendopeptidases),signal:Signal peptide (Sec/SPI)
MASE_09385,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam M61 glycyl aminopeptidase,
MASE_09525,ATCC27126,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,loc:Outer membrane
MASE_09590,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.21.102 (C-terminal processing peptidase),signal:Signal peptide (Sec/SPI)
MASE_10020,ATCC27126,protein/peptide,"B: degradative, export uncertain",Pfam SOS response associated peptidase (SRAP),
MASE_10025,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.19.1 (acylaminoacyl-peptidase),signal:Signal peptide (Sec/SPI)
MASE_10205,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.24.- (Metalloendopeptidases),signal:Signal peptide (Sec/SPI)
MASE_10440,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.19.13 (glutathione gamma-glutamate hydrolase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
MASE_10450,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.- (Serine endopeptidases),
MASE_10455,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.-.- (Acting on peptide bonds (peptidases)),signal:Lipoprotein signal peptide (Sec/SPII)
MASE_10495,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.14.- (Dipeptidyl-peptidases and tripeptidyl-peptidases),signal:Signal peptide (Sec/SPI)
MASE_10540,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.21.26 (prolyl oligopeptidase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
MASE_10835,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.-.- (Acting on peptide bonds (peptidases)),signal:Signal peptide (Sec/SPI)
MASE_11385,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.11.2 (membrane alanyl aminopeptidase),signal:Signal peptide (Sec/SPI)
MASE_11630,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.16.- (Serine-type carboxypeptidases),signal:Signal peptide (Sec/SPI)
MASE_11835,ATCC27126,protein/peptide,A: degradative + exported,GO-MF metallopeptidase activity,loc:Outer membrane;signal:Signal peptide (Sec/SPI)
MASE_11865,ATCC27126,protein/peptide,"B: degradative, export uncertain",EC 3.4.23.- (Aspartic endopeptidases),
MASE_11935,ATCC27126,protein/peptide,A: degradative + exported,EC 3.4.21.83 (oligopeptidase B),signal:Lipoprotein signal peptide (Sec/SPII)
MASE_17110,ATCC27126,sulfate ester,"B: degradative, export uncertain",Pfam Sulfatase-modifying factor enzyme 1-like domain,
MASE_03595,ATCC27126,sulfate ester,"B: degradative, export uncertain",Pfam Sulfatase,
MASE_09360,ATCC27126,sulfate ester,"B: degradative, export uncertain",Pfam Sulfatase,
ALTBGP6_02289,BGP6,amide/C-N,A: degradative + exported,EC 3.5.2.9 (5-oxoprolinase (ATP-hydrolyzing)),loc:Periplasmic
ALTBGP6_03384,BGP6,amide/C-N,A: degradative + exported,"EC 3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds)",signal:Signal peptide (Sec/SPI)
ALTBGP6_00099,BGP6,amide/C-N,A: degradative + exported,"EC 3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds)",signal:Signal peptide (Sec/SPI)
ALTBGP6_00316,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.44 (protein-glutamine glutaminase),
ALTBGP6_03728,BGP6,amide/C-N,A: degradative + exported,EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),signal:Signal peptide (Sec/SPI)
ALTBGP6_03850,BGP6,amide/C-N,A: degradative + exported,EC 3.5.2.6 (beta-lactamase),signal:Signal peptide (Sec/SPI)
ALTBGP6_04028,BGP6,amide/C-N,A: degradative + exported,"EC 3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds)",signal:Signal peptide (Sec/SPI)
ALTBGP6_00958,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.42 (nicotinamide-nucleotide amidase),
ALTBGP6_00999,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),
ALTBGP6_01049,BGP6,amide/C-N,A: degradative + exported,GO-MF amidase activity,loc:Periplasmic
ALTBGP6_01489,BGP6,amide/C-N,"B: degradative, export uncertain",Pfam Carbon-nitrogen hydrolase,
ALTBGP6_01584,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.2.17 (hydroxyisourate hydrolase),
ALTBGP6_01601,BGP6,amide/C-N,A: degradative + exported,EC 3.5.4.4 (adenosine deaminase),signal:Signal peptide (Sec/SPI)
ALTBGP6_01607,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.4 (amidase),
ALTBGP6_01650,BGP6,amide/C-N,A: degradative + exported,EC 3.5.1.97 (acyl-homoserine-lactone acylase),loc:Periplasmic
ALTBGP6_01963,BGP6,amide/C-N,"B: degradative, export uncertain",EC 3.5.4.5 (cytidine deaminase),
ALTBGP6_02012,BGP6,amide/C-N,A: degradative + exported,EC 3.5.1.97 (acyl-homoserine-lactone acylase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_00514,BGP6,amide/C-N;carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds) | GO-MF peptidoglycan beta-N-acetylmuramidase activity",signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03905,BGP6,amide/C-N;carbohydrate,"B: degradative, export uncertain",CAZy GH73 | GO-MF amidase activity,
ALTBGP6_03144,BGP6,amide/C-N;protein/peptide,"B: degradative, export uncertain",EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase) | EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),
ALTBGP6_01687,BGP6,amide/C-N;protein/peptide,A: degradative + exported,EC 3.4.19.5 (beta-aspartyl-peptidase) | EC 3.5.1.1 (asparaginase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_01958,BGP6,amide/C-N;protein/peptide,A: degradative + exported,EC 3.5.1.- (In linear amides) | GO-MF metallocarboxypeptidase activity,signal:Signal peptide (Sec/SPI)
ALTBGP6_02224,BGP6,carbohydrate,A: degradative + exported,CAZy GH13,loc:Extracellular
ALTBGP6_02276,BGP6,carbohydrate,"B: degradative, export uncertain",Pfam Carbohydrate-binding module 48 (Isoamylase N-terminal domain),
ALTBGP6_02306,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.1 (alpha-amylase),loc:Extracellular;signal:Signal peptide (Sec/SPI)
ALTBGP6_02342,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.21 (DNA-3-methyladenine glycosylase II),
ALTBGP6_02402,BGP6,carbohydrate,A: degradative + exported,EC 3.2.2.9 (adenosylhomocysteine nucleosidase),signal:Signal peptide (Sec/SPI)
ALTBGP6_02430,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.172 (unsaturated rhamnogalacturonyl hydrolase),signal:Signal peptide (Sec/SPI)
ALTBGP6_02431,BGP6,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Extracellular;signal:TAT lipoprotein signal peptide (Tat/SPII)
ALTBGP6_02562,BGP6,carbohydrate,"B: degradative, export uncertain",CAZy GH103,
ALTBGP6_02860,BGP6,carbohydrate,A: degradative + exported,Pfam Pectinacetylesterase,signal:Signal peptide (Sec/SPI)
ALTBGP6_02863,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.20 (alpha-glucosidase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_02925,BGP6,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Extracellular;signal:Signal peptide (Sec/SPI)
ALTBGP6_02965,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.52 (beta-N-acetylhexosaminidase),loc:Outer membrane;signal:Signal peptide (Sec/SPI)
ALTBGP6_03373,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.4 (cellulase),signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03375,BGP6,carbohydrate,"B: degradative, export uncertain",Pfam Glycosyl hydrolases family 17,
ALTBGP6_00010,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.20 (DNA-3-methyladenine glycosylase I),
ALTBGP6_00264,BGP6,carbohydrate,A: degradative + exported,Pfam Concanavalin A-like lectin/glucanases superfamily,signal:Signal peptide (Sec/SPI)
ALTBGP6_00277,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.1.23 (beta-galactosidase),
ALTBGP6_00384,BGP6,carbohydrate,"B: degradative, export uncertain",CAZy GH103,
ALTBGP6_00512,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.52 (beta-N-acetylhexosaminidase),signal:Signal peptide (Sec/SPI)
ALTBGP6_00548,BGP6,carbohydrate,A: degradative + exported,CAZy GH23,loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_03693,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.1 (alpha-amylase),loc:Extracellular
ALTBGP6_03769,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.1.177 (alpha-D-xyloside xylohydrolase),
ALTBGP6_03773,BGP6,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03777,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.21 (beta-glucosidase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03834,BGP6,carbohydrate,A: degradative + exported,EC 3.2.2.9 (adenosylhomocysteine nucleosidase),signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03849,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.21 (DNA-3-methyladenine glycosylase II),
ALTBGP6_03880,BGP6,carbohydrate,A: degradative + exported,GO-MF pectinesterase activity,loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03913,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.20 (alpha-glucosidase),signal:Signal peptide (Sec/SPI)
ALTBGP6_03960,BGP6,carbohydrate,A: degradative + exported,Pfam Glycosyl hydrolase family 67 N-terminus,signal:Signal peptide (Sec/SPI)
ALTBGP6_03963,BGP6,carbohydrate,A: degradative + exported,"EC 3.2.1.8 (endo-1,4-beta-xylanase)",loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_03970,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.21 (beta-glucosidase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03972,BGP6,carbohydrate,"B: degradative, export uncertain",Pfam Glycosyl hydrolase family 9,
ALTBGP6_03974,BGP6,carbohydrate,A: degradative + exported,"EC 3.2.1.8 (endo-1,4-beta-xylanase)",signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_03975,BGP6,carbohydrate,A: degradative + exported,EC 3.2.1.55 (non-reducing end alpha-L-arabinofuranosidase),signal:Signal peptide (Sec/SPI)
ALTBGP6_00867,BGP6,carbohydrate,A: degradative + exported,CAZy GH13,signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_01945,BGP6,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.- (Hydrolyzing N-glycosyl compounds),
ALTBGP6_03355,BGP6,carbohydrate (ester);ester (other);lipid/ester,A: degradative + exported,EC 3.1.2.12 (S-formylglutathione hydrolase) | CAZy CE1 | Pfam Putative esterase,loc:Periplasmic
ALTBGP6_02432,BGP6,carbohydrate;lipid/ester,A: degradative + exported,EC 3.1.1.11 (pectinesterase) | GO-MF pectinesterase activity,loc:Extracellular;signal:Signal peptide (Sec/SPI)
ALTBGP6_03961,BGP6,carbohydrate;lipid/ester,A: degradative + exported,"EC 3.1.1.53 (sialate O-acetylesterase) | Pfam Glycosyl hydrolases family 2, sugar binding domain",signal:Signal peptide (Sec/SPI)
ALTBGP6_00112,BGP6,carbohydrate;protein/peptide,A: degradative + exported,EC 3.4.-.- (Acting on peptide bonds (peptidases)) | Pfam Chitobiase/beta-hexosaminidase C-terminal domain,loc:Extracellular;signal:Signal peptide (Sec/SPI)
ALTBGP6_02539,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
ALTBGP6_00221,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
ALTBGP6_01136,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
ALTBGP6_01504,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
ALTBGP6_01667,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.20 (acyl-CoA hydrolase),
ALTBGP6_02098,BGP6,ester (other),"B: degradative, export uncertain",EC 3.1.2.6 (hydroxyacylglutathione hydrolase),
ALTBGP6_02314,BGP6,ester (other);lipid/ester,"B: degradative, export uncertain",EC 3.1.-.- (Acting on ester bonds) | Pfam GDSL-like Lipase/Acylhydrolase family,
ALTBGP6_00213,BGP6,ester (other);nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.30.1 (Aspergillus nuclease S1) | GO-MF endonuclease activity,signal:Signal peptide (Sec/SPI)
ALTBGP6_02407,BGP6,ester (other);organic phosphate,"B: degradative, export uncertain",EC 3.1.-.- (Acting on ester bonds) | Pfam Endonuclease/Exonuclease/phosphatase family,
ALTBGP6_03546,BGP6,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.3.1 (alkaline phosphatase),loc:Extracellular;signal:TAT lipoprotein signal peptide (Tat/SPII)
ALTBGP6_00637,BGP6,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.3.5 (5^-nucleotidase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_01201,BGP6,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | Pfam Endonuclease/Exonuclease/phosphatase family,signal:Signal peptide (Sec/SPI)
ALTBGP6_02371,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.61 (protein-glutamate methylesterase),
ALTBGP6_02398,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.31 (6-phosphogluconolactonase),
ALTBGP6_02427,BGP6,lipid/ester,A: degradative + exported,EC 3.1.1.- (Carboxylic ester hydrolases),signal:Signal peptide (Sec/SPI)
ALTBGP6_02597,BGP6,lipid/ester,A: degradative + exported,Pfam Putative esterase,signal:Signal peptide (Sec/SPI)
ALTBGP6_02744,BGP6,lipid/ester,A: degradative + exported,EC 3.1.1.4 (phospholipase A2),loc:Outer membrane;signal:Signal peptide (Sec/SPI)
ALTBGP6_02802,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
ALTBGP6_02900,BGP6,lipid/ester,A: degradative + exported,EC 3.1.1.45 (carboxymethylenebutenolidase),signal:TAT signal peptide (Tat/SPI)
ALTBGP6_02952,BGP6,lipid/ester,A: degradative + exported,Pfam Putative esterase,signal:Signal peptide (Sec/SPI)
ALTBGP6_03313,BGP6,lipid/ester,"B: degradative, export uncertain",Pfam Phospholipase D Active site motif,
ALTBGP6_03510,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
ALTBGP6_00157,BGP6,lipid/ester,"B: degradative, export uncertain",Pfam Phospholipase/Carboxylesterase,
ALTBGP6_03613,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.96 (D-aminoacyl-tRNA deacylase),
ALTBGP6_03714,BGP6,lipid/ester,A: degradative + exported,EC 3.1.1.3 (triacylglycerol lipase),signal:Signal peptide (Sec/SPI)
ALTBGP6_03823,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.29 (peptidyl-tRNA hydrolase),
ALTBGP6_00728,BGP6,lipid/ester,A: degradative + exported,Pfam Putative esterase,signal:Signal peptide (Sec/SPI)
ALTBGP6_00883,BGP6,lipid/ester,A: degradative + exported,EC 3.1.1.- (Carboxylic ester hydrolases),loc:Outer membrane
ALTBGP6_00899,BGP6,lipid/ester,"B: degradative, export uncertain",Pfam Lipase (class 3),
ALTBGP6_00902,BGP6,lipid/ester,A: degradative + exported,Pfam Patatin-like phospholipase,loc:Extracellular
ALTBGP6_01359,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
ALTBGP6_02001,BGP6,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
ALTBGP6_02011,BGP6,lipid/ester,A: degradative + exported,Pfam Bacterial virulence factor lipase N-terminal,signal:Lipoprotein signal peptide (Sec/SPII)
ALTBGP6_02120,BGP6,lipid/ester,A: degradative + exported,Pfam Patatin-like phospholipase,loc:Extracellular
ALTBGP6_00452,BGP6,lipid/ester;protein/peptide,"B: degradative, export uncertain","EC 3.1.1.5 (lysophospholipase) | Pfam Serine aminopeptidase, S33",
ALTBGP6_01425,BGP6,lipid/ester;protein/peptide,A: degradative + exported,EC 3.1.1.5 (lysophospholipase) | GO-MF peptidase activity,loc:Periplasmic;signal:Signal peptide (Sec/SPI)
ALTBGP6_02843,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF DNA endonuclease activity,
ALTBGP6_03121,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF nuclease activity,
ALTBGP6_03218,BGP6,nucleic acid,"B: degradative, export uncertain",Pfam PD-(D/E)XK nuclease superfamily,
ALTBGP6_03382,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase),
ALTBGP6_03441,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF 3^-5^ exonuclease activity,
ALTBGP6_03465,BGP6,nucleic acid,A: degradative + exported,GO-MF RNA nuclease activity,signal:Signal peptide (Sec/SPI)
ALTBGP6_00119,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF endonuclease activity,
ALTBGP6_00120,BGP6,nucleic acid,"B: degradative, export uncertain",Pfam MvaI/BcnI restriction endonuclease family,
ALTBGP6_00389,BGP6,nucleic acid,A: degradative + exported,GO-MF nuclease activity,signal:Signal peptide (Sec/SPI)
ALTBGP6_00509,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF RNA nuclease activity,
ALTBGP6_04070,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.26.5 (ribonuclease P),
EZ55_RS19290,BGP6,nucleic acid,"B: degradative, export uncertain",Pfam HNH endonuclease,
ALTBGP6_01355,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.26.4 (ribonuclease H),
ALTBGP6_01474,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase),
ALTBGP6_01699,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.26.4 (ribonuclease H),
ALTBGP6_01728,BGP6,nucleic acid,"B: degradative, export uncertain",EC 3.1.26.12 (ribonuclease E),
ALTBGP6_01839,BGP6,nucleic acid,"B: degradative, export uncertain",Pfam Nuclease-related domain,
ALTBGP6_01923,BGP6,nucleic acid,"B: degradative, export uncertain",GO-MF endonuclease activity,
ALTBGP6_02436,BGP6,nucleic acid;organic phosphate,A: degradative + exported,Pfam Endonuclease/Exonuclease/phosphatase family | Pfam Endonuclease I,loc:Outer membrane;signal:Signal peptide (Sec/SPI)
ALTBGP6_03339,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
ALTBGP6_00073,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
ALTBGP6_00174,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
ALTBGP6_00381,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain","EC 3.1.4.58 (RNA 2^,3^-cyclic 3^-phosphodiesterase) | GO-MF 2^,3^-cyclic-nucleotide 3^-phosphodiesterase activity",
ALTBGP6_00438,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
ALTBGP6_01242,BGP6,nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.4.46 (glycerophosphodiester phosphodiesterase) | GO-MF glycerophosphodiester phosphodiesterase activity,loc:Periplasmic
ALTBGP6_01569,BGP6,nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,signal:Signal peptide (Sec/SPI)
ALTBGP6_01629,BGP6,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
